#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	397	0.050	570
0.076	366	0.101	599
0.127	343	0.152	621
0.177	328	0.203	633
0.228	325	0.253	636
0.279	329	0.304	631
0.330	343	0.354	615
0.380	366	0.406	591
0.431	397	0.456	559
0.481	432	0.507	522
0.532	473	0.557	481
0.583	515	0.608	440
0.634	556	0.658	398
0.684	596	0.710	360
0.735	630	0.760	327
0.785	658	0.811	301
0.837	677	0.861	283
0.887	687	0.912	275
0.938	687	0.963	277
0.988	679	1.014	287
1.039	659	1.064	308
1.090	632	1.115	336
1.141	598	1.165	371
1.191	560	1.217	409
1.242	518	1.267	450
1.292	475	1.318	492
1.344	435	1.368	532
1.394	398	1.419	567
1.445	367	1.470	596
1.495	342	1.521	618
1.546	328	1.572	630
1.596	323	1.622	634
1.648	327	1.673	629
1.698	341	1.723	614
1.749	363	1.775	591
1.799	393	1.825	561
1.850	429	1.876	524
1.901	469	1.926	485
1.952	511	1.977	444
2.002	553	2.028	403
2.053	591	2.079	367
2.103	626	2.129	334
2.155	653	2.180	309
2.205	673	2.230	292
2.256	683	2.281	284
2.306	683	2.332	285
2.357	674	2.383	296
2.407	655	2.433	315
2.459	629	2.484	342
2.509	595	2.534	375
2.560	557	2.586	412
2.610	517	2.636	452
2.661	475	2.687	492
2.712	435	2.737	530
2.763	399	2.788	564
2.813	368	2.839	593
2.864	345	2.890	613
2.914	331	2.940	626
2.966	325	2.991	628
3.016	329	3.041	625
3.067	341	3.092	610
3.117	363	3.143	589
3.168	392	3.194	560
3.218	427	3.244	526
3.270	465	3.295	487
3.320	507	3.345	448
3.371	547	3.397	409
3.421	586	3.447	374
3.472	620	3.498	342
3.523	648	3.548	316
3.574	667	3.599	300
3.624	678	3.650	291
3.675	679	3.701	292
3.725	670	3.751	302
3.777	653	3.802	320
3.827	627	3.852	346
3.878	595	3.904	378
3.928	557	3.954	413
3.979	517	4.005	452
4.029	476	4.055	492
4.081	437	4.106	527
4.131	400	4.156	562
4.182	370	4.208	588
4.232	347	4.258	610
4.283	332	4.309	621
4.334	326	4.359	625
4.385	329	4.410	621
4.435	342	4.461	608
4.486	362	4.512	586
4.536	391	4.562	558
4.588	425	4.613	525
4.638	463	4.663	488
4.689	503	4.715	450
4.739	544	4.765	413
4.790	581	4.816	378
4.840	615	4.866	347
4.892	643	4.917	323
4.942	662	4.967	307
4.993	673	5.019	299
5.043	674	5.069	299
5.094	667	5.120	308
5.145	649	5.170	325
5.196	625	5.221	351
5.246	594	5.272	381
5.297	558	5.323	415
5.347	519	5.373	453
5.399	479	5.424	490
5.449	439	5.474	527
5.500	404	5.526	559
5.550	373	5.576	585
5.601	350	5.627	606
5.651	334	5.677	617
5.703	329	5.728	621
5.753	330	5.778	617
5.804	342	5.830	604
5.854	361	5.880	584
5.905	390	5.931	557
5.956	422	5.981	525
6.007	460	6.032	489
6.057	500	6.083	451
