#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	463	0.051	439
0.076	499	0.101	437
0.127	535	0.153	438
0.177	568	0.203	439
0.228	597	0.254	442
0.279	622	0.304	446
0.330	638	0.355	451
0.380	647	0.406	456
0.431	649	0.457	463
0.481	642	0.507	469
0.533	628	0.558	475
0.583	606	0.608	480
0.634	578	0.660	485
0.684	546	0.710	489
0.735	512	0.761	490
0.786	477	0.811	491
0.837	443	0.862	489
0.887	411	0.912	487
0.938	384	0.964	483
0.988	363	1.014	477
1.039	350	1.065	470
1.090	343	1.115	464
1.141	343	1.166	456
1.191	352	1.217	449
1.242	368	1.268	442
1.292	391	1.318	435
1.344	418	1.369	431
1.394	450	1.419	428
1.445	484	1.471	427
1.495	519	1.521	427
1.546	551	1.572	429
1.597	581	1.622	433
1.648	606	1.673	439
1.698	625	1.723	445
1.749	636	1.775	453
1.799	641	1.825	461
1.850	638	1.876	470
1.901	627	1.926	478
1.952	609	1.977	486
2.002	586	2.028	492
2.053	557	2.079	497
2.103	526	2.129	500
2.155	492	2.180	501
2.205	459	2.230	500
2.256	427	2.282	497
2.306	400	2.332	492
2.357	377	2.383	486
2.408	362	2.433	478
2.459	352	2.484	469
2.509	349	2.534	457
2.560	352	2.586	446
2.610	365	2.636	437
2.661	383	2.687	428
2.712	408	2.737	422
2.763	437	2.788	418
2.813	470	2.839	416
2.864	503	2.890	416
2.914	536	2.940	419
2.966	566	2.991	424
3.016	592	3.041	431
3.067	613	3.093	440
3.117	627	3.143	450
3.168	635	3.194	460
3.219	634	3.244	471
3.270	627	3.295	481
3.320	612	3.346	491
3.371	591	3.397	498
3.421	566	3.447	506
3.472	537	3.498	509
3.523	505	3.548	512
3.574	474	3.599	510
3.625	443	3.650	507
3.675	415	3.701	501
3.726	391	3.751	493
3.777	374	3.802	483
3.828	361	3.852	472
3.878	356	3.904	461
3.929	358	3.954	449
3.979	367	4.005	437
4.031	382	4.055	426
4.081	403	4.106	417
4.132	428	4.157	411
4.182	457	4.208	408
4.233	488	4.258	406
4.283	519	4.309	408
4.335	549	4.359	413
4.385	576	4.410	420
4.436	597	4.461	430
4.486	613	4.512	442
4.537	624	4.562	453
4.588	627	4.613	467
4.639	622	4.663	480
4.689	614	4.715	495
4.740	596	4.765	503
4.790	573	4.816	512
4.842	547	4.866	519
4.892	519	4.917	522
4.943	488	4.968	521
4.993	458	5.019	519
5.044	431	5.069	512
5.094	406	5.120	503
5.146	387	5.170	491
5.196	374	5.221	479
5.247	365	5.272	464
5.297	364	5.323	450
5.348	370	5.373	436
5.399	381	5.424	424
5.450	399	5.474	413
5.500	422	5.526	405
5.551	448	5.576	399
5.601	476	5.627	398
5.653	506	5.677	399
5.703	534	5.728	404
5.754	560	5.779	411
5.804	582	5.830	422
5.855	599	5.880	434
5.906	611	5.931	448
5.957	617	5.981	463
6.007	616	6.032	478
6.058	609	6.083	493
6.108	596	6.134	506
6.159	577	6.184	516
6.210	555	6.235	524
6.261	529	6.285	529
6.311	501	6.337	530
6.362	473	6.387	528
6.412	447	6.438	522
6.464	423	6.488	513
6.514	402	6.539	501
6.565	387	6.590	488
6.615	377	6.641	472
6.666	373	6.692	456
6.717	375	6.742	441
6.768	384	6.793	425
6.818	398	6.843	412
6.869	417	6.895	401
6.919	440	6.945	394
6.970	465	6.996	389
7.021	493	7.046	389
7.072	519	7.097	392
7.122	544	7.148	400
7.173	567	7.199	410
7.223	585	7.249	424
7.275	598	7.300	439
7.325	606	7.350	456
7.376	608	7.402	473
7.426	604	7.452	490
7.477	594	7.503	505
7.528	579	7.553	519
7.579	559	7.604	529
7.629	536	7.654	536
7.680	511	7.706	539
7.730	486	7.756	537
7.781	460	7.807	533
7.832	437	7.857	524
7.883	417	7.908	512
7.933	401	7.959	497
7.984	390	8.010	480
8.034	384	8.060	463
8.086	384	8.111	445
8.136	389	8.161	428
8.187	400	8.213	412
8.237	415	8.263	400
8.288	435	8.314	390
8.339	457	8.364	384
8.390	481	8.415	382
8.440	505	8.466	383
8.491	529	8.517	390
8.541	551	8.567	400
8.592	569	8.618	414
8.643	583	8.668	430
8.694	592	8.719	448
8.744	597	8.770	466
8.795	596	8.821	485
8.845	589	8.871	502
8.897	577	8.922	518
8.947	562	8.972	530
8.998	542	9.024	540
9.048	520	9.074	545
9.099	497	9.125	546
9.150	473	9.175	542
9.201	451	9.226	534
9.251	432	9.277	523
9.302	416	9.328	508
9.352	403	9.378	490
9.403	396	9.429	472
9.454	393	9.479	452
9.505	396	9.530	433
9.555	404	9.581	415
9.606	416	9.632	400
9.656	432	9.682	388
9.708	452	9.733	379
9.758	473	9.783	375
9.809	495	9.835	375
9.859	516	9.885	381
9.910	537	9.936	390
9.961	555	9.986	404
10.012	569	10.037	420
10.062	580	10.088	439
10.113	585	10.139	458
10.163	586	10.189	479
10.214	582	10.240	498
10.265	574	10.290	515
10.316	561	10.341	531
10.366	545	10.392	542
10.417	526	10.443	550
10.467	506	10.493	552
10.519	484	10.544	550
10.569	465	10.594	543
10.620	446	10.646	533
10.670	430	10.696	518
10.721	417	10.747	501
10.772	409	10.797	481
10.823	404	10.848	460
10.873	404	10.899	439
10.924	410	10.950	420
10.974	419	11.000	403
11.026	432	11.051	388
11.076	448	11.101	378
11.127	466	11.152	371
11.177	485	11.203	370
11.228	504	11.254	373
11.278	523	11.304	381
11.330	540	11.355	393
11.380	554	11.405	410
11.431	565	11.457	428
11.481	572	11.507	449
11.532	575	11.558	470
11.583	574	11.608	491
11.634	568	11.659	511
11.684	558	11.710	528
11.735	545	11.761	542
11.785	530	11.811	551
11.837	512	11.862	556
11.887	494	11.912	556
11.938	476	11.963	552
11.988	459	12.014	542
12.039	444	12.065	529
12.089	432	12.115	511
12.141	423	12.166	492
12.191	417	12.216	470
12.242	416	12.268	448
12.292	418	12.318	427
12.343	425	12.369	407
12.394	434	12.419	391
12.445	447	12.470	378
12.495	462	12.521	370
12.546	478	12.572	365
12.596	495	12.622	367
12.648	512	12.673	373
12.698	527	12.723	385
12.749	540	12.774	399
12.799	551	12.825	418
12.850	559	12.876	439
12.900	563	12.926	461
12.952	562	12.977	483
13.002	560	13.027	505
13.053	553	13.079	524
13.103	543	13.129	539
13.154	530	13.180	551
13.205	516	13.230	558
13.256	500	13.281	560
13.306	485	13.332	558
13.357	470	13.383	550
13.407	456	13.433	537
13.459	445	13.484	521
13.509	436	13.534	502
13.560	430	13.586	480
13.610	428	13.636	458
13.661	428	13.687	435
13.711	432	13.737	414
13.763	440	13.788	396
13.813	449	13.838	381
13.864	461	13.890	369
13.914	474	13.940	364
13.965	489	13.991	363
14.016	503	14.041	367
14.067	516	14.092	376
14.117	528	14.143	391
14.168	538	14.194	407
14.218	546	14.244	429
14.270	550	14.295	451
14.320	552	14.345	474
14.371	550	14.397	496
14.421	545	14.447	517
14.472	538	14.498	534
14.522	528	14.548	549
14.574	517	14.599	558
14.624	505	14.649	563
14.675	492	14.701	562
14.725	479	14.751	557
14.776	467	14.802	546
14.827	457	14.852	531
14.878	448	14.903	512
14.928	443	14.954	490
14.979	439	15.005	467
15.029	439	15.055	444
15.081	441	15.106	422
15.131	446	15.156	402
15.182	453	15.208	385
15.232	462	15.258	372
15.283	473	15.309	364
15.333	484	15.359	361
15.385	496	15.410	363
15.435	507	15.460	370
15.486	517	15.512	382
15.536	527	15.562	399
15.587	533	15.613	418
15.638	538	15.663	441
15.689	540	15.714	464
15.739	539	15.765	487
15.790	536	15.816	509
15.840	532	15.866	528
15.892	524	15.917	545
15.942	516	15.967	556
15.993	506	16.019	563
16.043	496	16.069	564
16.094	486	16.120	561
16.144	477	16.170	552
16.196	468	16.221	539
16.247	460	16.271	521
16.297	455	16.323	501
16.348	451	16.373	478
16.398	451	16.424	455
16.450	451	16.474	432
16.500	454	16.525	410
16.551	459	16.576	391
16.601	466	16.627	376
16.652	473	16.677	366
16.703	482	16.728	360
16.754	491	16.778	360
16.804	500	16.830	365
16.855	508	16.880	376
16.905	515	16.931	391
16.957	521	16.981	410
17.007	524	17.032	431
17.058	527	17.082	454
17.108	528	17.134	478
17.159	526	17.184	500
17.209	523	17.235	521
17.261	519	17.285	538
17.311	513	17.336	552
17.362	506	17.387	561
17.412	498	17.438	566
17.463	491	17.488	563
17.514	484	17.539	557
17.565	477	17.589	545
17.615	471	17.641	530
17.666	466	17.691	510
17.716	463	17.742	488
17.768	463	17.792	464
17.818	462	17.843	442
17.869	464	17.893	419
17.919	467	17.945	399
17.970	471	17.995	383
18.020	476	18.046	370
18.072	482	18.096	363
18.122	488	18.147	360
18.173	495	18.198	363
18.223	500	18.249	371
18.274	507	18.299	385
18.325	510	18.350	401
18.376	514	18.400	422
18.426	516	18.452	444
18.477	516	18.502	467
18.527	515	18.553	490
18.579	514	18.603	512
18.629	511	18.654	531
18.680	507	18.704	546
18.730	503	18.756	557
18.781	498	18.806	564
18.831	493	18.857	565
18.883	488	18.907	560
18.933	484	18.958	550
18.984	480	19.009	536
19.034	477	19.060	519
19.085	474	19.110	497
19.136	474	19.161	475
19.187	473	19.212	452
19.237	474	19.263	429
19.288	476	19.314	408
19.338	479	19.364	390
19.390	481	19.415	377
19.440	485	19.465	366
19.491	488	19.517	362
19.541	492	19.567	362
19.592	496	19.618	369
19.642	498	19.668	379
19.694	501	19.719	395
19.744	503	19.769	413
19.795	504	19.821	435
19.845	505	19.871	457
19.896	505	19.922	480
19.947	504	19.972	502
19.998	502	20.023	522
20.048	500	20.074	539
20.099	498	20.125	552
20.149	495	20.175	559
20.201	493	20.226	562
20.251	491	20.276	560
20.302	489	20.328	553
20.352	487	20.378	541
20.403	486	20.429	525
20.453	485	20.479	506
20.505	484	20.530	484
20.555	484	20.580	461
20.606	485	20.632	439
20.656	486	20.682	417
20.707	486	20.733	400
20.758	487	20.783	384
20.809	489	20.834	373
20.859	490	20.885	366
20.910	491	20.936	364
20.960	492	20.986	368
21.012	493	21.037	377
21.062	493	21.087	390
21.113	494	21.139	407
21.163	494	21.189	426
21.214	494	21.240	448
21.264	493	21.290	470
21.316	493	21.341	492
21.366	493	21.391	512
21.417	492	21.443	530
21.467	492	21.493	545
21.518	492	21.544	555
21.569	491	21.594	559
21.620	492	21.645	559
21.670	491	21.696	554
21.721	492	21.747	545
21.771	493	21.797	530
21.823	493	21.848	513
21.873	494	21.898	493
21.924	494	21.950	471
21.974	495	22.000	450
22.025	495	22.051	428
22.075	495	22.101	409
22.127	495	22.152	392
22.177	495	22.202	379
22.228	493	22.254	371
22.278	492	22.304	367
22.329	491	22.355	369
22.380	490	22.405	375
22.431	488	22.456	386
22.482	487	22.507	401
22.532	486	22.558	419
22.583	485	22.608	439
22.634	485	22.659	460
22.685	484	22.709	482
22.735	484	22.761	502
22.786	485	22.811	521
22.836	486	22.862	536
22.888	487	22.912	547
22.938	489	22.963	554
22.989	491	23.013	556
23.039	493	23.065	553
23.090	496	23.115	546
23.140	497	23.166	534
23.192	500	23.216	519
23.242	501	23.267	500
23.293	503	23.318	480
23.343	503	23.369	459
23.394	503	23.419	439
23.445	503	23.470	419
23.496	502	23.520	402
23.546	500	23.572	388
23.597	497	23.622	378
23.647	495	23.673	373
