#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	521	0.050	488
0.076	484	0.101	487
0.127	446	0.153	487
0.177	409	0.203	487
0.228	375	0.254	487
0.279	345	0.304	487
0.330	320	0.355	487
0.380	302	0.406	487
0.431	292	0.457	487
0.481	290	0.507	487
0.533	295	0.558	487
0.583	308	0.608	487
0.634	327	0.660	487
0.684	353	0.710	487
0.735	383	0.761	488
0.785	417	0.811	487
0.837	453	0.862	488
0.887	489	0.912	488
0.938	523	0.964	487
0.988	554	1.014	487
1.039	578	1.065	488
1.090	596	1.115	488
1.141	607	1.166	488
1.191	610	1.217	487
1.242	606	1.268	487
1.292	593	1.318	487
1.344	574	1.369	487
1.394	549	1.419	488
1.445	518	1.471	488
1.495	484	1.521	488
1.546	449	1.572	487
1.596	413	1.622	487
1.648	381	1.673	488
1.698	351	1.723	487
1.749	327	1.775	488
1.799	310	1.825	487
1.850	300	1.876	487
1.901	298	1.926	487
1.952	304	1.977	488
2.002	317	2.028	487
2.053	335	2.079	488
2.103	361	2.129	487
2.155	390	2.180	488
2.205	422	2.230	487
2.256	456	2.282	487
2.306	489	2.332	487
2.357	521	2.383	487
2.407	548	2.433	487
2.459	571	2.484	487
2.509	587	2.534	488
2.560	597	2.586	488
2.610	599	2.636	488
2.661	594	2.687	487
2.712	581	2.737	488
2.763	564	2.788	487
2.813	540	2.839	487
2.864	512	2.890	488
2.914	481	2.940	488
2.966	448	2.991	487
3.016	416	3.041	487
3.067	385	3.093	487
3.117	358	3.143	487
3.168	336	3.194	488
3.219	320	3.244	487
3.270	311	3.295	487
3.320	309	3.345	487
3.371	313	3.397	488
3.421	324	3.447	487
3.472	342	3.498	487
3.523	365	3.548	488
3.574	393	3.599	487
3.624	423	3.650	488
3.675	455	3.701	487
3.725	487	3.751	487
3.777	517	3.802	487
3.827	543	3.852	488
3.878	565	3.904	487
3.928	580	3.954	488
3.979	588	4.005	487
4.030	591	4.055	488
4.081	585	4.106	487
4.131	575	4.156	488
4.182	557	4.208	487
4.232	534	4.258	487
4.283	507	4.309	488
4.334	478	4.359	487
4.385	446	4.410	487
4.436	416	4.461	487
4.486	387	4.512	487
4.537	363	4.562	487
4.588	342	4.613	488
4.639	327	4.663	487
4.689	319	4.715	487
4.740	317	4.765	487
4.790	322	4.816	487
4.842	333	4.866	487
4.892	349	4.917	488
4.943	372	4.967	487
4.993	398	5.019	487
5.044	426	5.069	487
5.094	456	5.120	487
5.146	485	5.170	488
5.196	513	5.221	487
5.247	538	5.272	488
5.297	558	5.323	487
5.348	572	5.373	487
5.399	581	5.424	487
5.450	583	5.474	487
5.500	578	5.526	487
5.551	567	5.576	488
5.601	550	5.627	487
5.653	529	5.677	487
5.703	503	5.728	488
5.754	476	5.779	487
5.804	446	5.830	487
5.855	418	5.880	488
5.905	390	5.931	488
5.957	367	5.981	487
6.007	348	6.032	487
6.058	333	6.083	487
6.108	325	6.134	488
6.159	324	6.184	487
6.210	329	6.235	487
6.261	339	6.285	487
6.311	356	6.337	487
6.362	377	6.387	487
6.412	402	6.438	487
6.464	429	6.488	487
6.514	458	6.539	487
6.565	485	6.590	488
6.615	512	6.641	488
6.666	535	6.691	487
6.716	553	6.742	488
6.768	566	6.792	488
6.818	575	6.843	488
6.869	576	6.894	487
6.919	571	6.945	488
6.970	561	6.995	487
7.021	545	7.046	488
7.072	524	7.096	487
7.122	499	7.148	488
7.173	473	7.198	487
7.223	446	7.249	487
7.275	418	7.299	487
7.325	393	7.350	488
7.376	370	7.401	487
7.426	352	7.452	487
7.477	339	7.503	487
7.527	332	7.553	487
7.579	330	7.604	488
7.629	335	7.654	487
7.680	346	7.706	488
7.730	362	7.756	488
7.781	382	7.807	488
7.832	405	7.857	487
7.883	431	7.908	487
7.933	458	7.959	487
7.984	485	8.010	487
8.034	510	8.060	487
8.086	532	8.111	487
8.136	549	8.161	487
8.187	562	8.213	488
8.237	568	8.263	488
8.288	570	8.314	488
8.339	565	8.364	488
8.390	554	8.415	487
8.440	539	8.465	488
8.491	519	8.517	488
8.541	495	8.567	488
8.592	470	8.618	487
8.643	444	8.668	487
8.694	418	8.719	487
8.744	394	8.770	487
8.795	373	8.821	487
8.845	357	8.871	487
8.897	344	8.922	487
8.947	338	8.972	487
8.998	336	9.024	488
9.048	341	9.074	488
9.099	352	9.125	487
9.150	367	9.175	488
9.201	386	9.226	487
9.251	408	9.276	487
9.302	433	9.328	488
9.352	459	9.378	488
9.403	484	9.429	488
9.454	507	9.479	488
9.505	528	9.530	487
9.555	545	9.581	488
9.606	557	9.632	487
9.656	563	9.682	488
9.708	563	9.733	488
9.758	559	9.783	488
9.809	549	9.835	487
9.859	534	9.885	488
9.910	515	9.936	487
9.961	493	9.986	487
10.012	468	10.037	488
10.062	443	10.087	488
10.113	418	10.139	487
10.163	396	10.189	487
10.214	376	10.240	488
10.265	360	10.290	487
10.316	349	10.341	488
10.366	342	10.392	487
10.417	342	10.443	487
10.467	347	10.493	487
10.519	357	10.544	488
10.569	371	10.594	487
10.620	391	10.646	487
10.670	412	10.696	487
10.721	435	10.747	488
10.772	460	10.797	487
10.823	484	10.848	488
10.873	506	10.899	488
10.924	526	10.950	487
10.974	541	11.000	488
