#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	625	0.050	670
0.076	619	0.101	657
0.127	602	0.151	637
0.177	578	0.203	610
0.228	546	0.253	578
0.278	508	0.304	541
0.329	467	0.354	504
0.380	424	0.405	466
0.431	382	0.455	430
0.481	342	0.507	397
0.532	306	0.557	370
0.582	278	0.608	350
0.634	257	0.658	338
0.684	246	0.709	334
0.735	244	0.760	337
0.785	250	0.811	350
0.836	267	0.861	370
0.887	291	0.912	397
0.938	323	0.962	428
0.988	360	1.014	464
1.039	401	1.064	501
1.089	443	1.115	538
1.140	485	1.165	573
1.191	525	1.216	605
1.242	559	1.266	632
1.292	588	1.318	652
1.343	608	1.368	664
1.393	620	1.419	667
1.445	620	1.469	664
1.495	614	1.520	651
1.546	596	1.571	632
1.596	571	1.622	605
1.647	539	1.672	574
1.698	501	1.723	539
1.749	461	1.774	502
1.799	418	1.825	465
1.850	377	1.876	431
1.900	338	1.926	399
1.951	304	1.977	374
2.002	277	2.027	354
2.053	259	2.078	343
2.103	248	2.129	340
2.154	247	2.180	344
2.204	255	2.230	356
2.256	273	2.281	376
2.306	298	2.331	402
2.357	330	2.383	433
2.407	368	2.433	468
2.458	408	2.484	504
2.509	450	2.534	540
2.560	491	2.585	573
2.610	529	2.636	605
2.661	562	2.687	629
2.711	589	2.737	648
2.763	607	2.788	659
2.813	616	2.838	663
2.864	616	2.889	658
2.914	607	2.940	646
2.965	588	2.991	626
3.015	563	3.041	601
3.067	530	3.092	570
3.117	493	3.142	536
3.168	453	3.194	501
3.218	411	3.244	465
3.269	372	3.295	432
3.320	334	3.345	401
3.371	302	3.396	377
3.421	277	3.447	359
3.472	260	3.498	348
3.522	252	3.548	344
3.574	252	3.599	350
3.624	261	3.649	361
3.675	280	3.700	381
3.725	306	3.751	407
3.776	338	3.802	437
3.826	375	3.852	471
3.878	415	3.903	505
3.928	456	3.953	541
3.979	495	4.005	574
4.029	532	4.055	603
4.080	563	4.106	627
4.131	589	4.156	645
4.182	605	4.207	655
4.232	612	4.258	658
4.283	610	4.309	654
4.333	601	4.359	641
4.385	581	4.410	622
4.435	555	4.460	597
4.486	522	4.511	567
4.536	485	4.562	533
4.587	445	4.613	499
4.637	405	4.663	464
4.689	366	4.714	432
4.739	331	4.764	403
4.790	301	4.816	379
4.840	277	4.866	362
4.891	262	4.917	352
4.942	255	4.967	349
4.993	256	5.018	354
5.043	267	5.069	367
5.094	287	5.120	386
5.144	313	5.170	411
5.196	345	5.221	441
5.246	383	5.271	474
5.297	421	5.323	508
5.347	462	5.373	542
5.398	499	5.424	574
5.448	535	5.474	602
5.500	564	5.525	625
5.550	587	5.575	642
5.601	602	5.627	652
5.651	607	5.677	655
5.702	605	5.728	650
5.753	593	5.778	638
5.804	574	5.829	618
5.854	547	5.880	593
5.905	514	5.931	564
5.955	477	5.981	531
6.007	438	6.032	497
6.057	399	6.082	464
6.108	362	6.134	432
6.158	327	6.184	405
6.209	299	6.235	382
6.259	277	6.285	365
6.311	264	6.336	356
6.361	259	6.386	353
6.412	262	6.438	359
6.462	274	6.488	371
6.513	293	6.539	390
6.564	321	6.589	415
6.615	353	6.640	444
6.665	390	6.691	476
6.716	428	6.742	510
6.766	467	6.792	543
6.818	503	6.843	574
6.868	537	6.893	600
6.919	565	6.945	624
6.969	586	6.995	639
7.020	598	7.046	649
7.070	603	7.096	652
7.122	598	7.147	647
7.172	586	7.197	634
7.223	566	7.249	615
7.273	538	7.299	590
7.324	506	7.350	561
7.375	469	7.400	529
7.426	432	7.451	496
7.476	393	7.502	463
7.527	358	7.553	432
7.577	325	7.603	405
7.629	298	7.654	383
7.679	278	7.704	368
7.730	267	7.756	359
7.780	263	7.806	357
7.831	267	7.857	363
7.881	280	7.907	375
7.933	301	7.958	394
7.983	328	8.008	418
8.034	360	8.060	447
8.084	396	8.110	478
8.135	434	8.161	512
8.186	471	8.211	544
8.237	506	8.262	575
8.287	538	8.313	601
8.338	564	8.364	622
8.388	583	8.414	638
8.440	595	8.465	647
8.490	598	8.515	649
8.541	592	8.567	643
8.591	578	8.617	631
8.642	558	8.668	611
8.692	529	8.718	587
8.744	498	8.769	558
8.794	463	8.819	527
8.845	425	8.871	495
8.895	389	8.921	463
8.946	354	8.972	432
8.997	323	9.022	406
9.048	298	9.073	385
9.099	280	9.124	370
9.149	270	9.175	361
9.200	267	9.225	360
9.251	273	9.276	366
9.302	288	9.326	379
9.352	308	9.378	398
9.403	336	9.428	422
9.453	368	9.479	450
9.505	403	9.529	481
9.555	439	9.580	514
9.606	475	9.630	545
9.656	509	9.682	575
9.707	539	9.732	601
9.757	563	9.783	622
9.809	580	9.833	636
9.859	590	9.884	645
9.910	592	9.935	645
9.960	586	9.986	640
10.011	571	10.036	627
10.062	550	10.087	608
10.113	522	10.137	584
10.163	491	10.189	556
10.214	455	10.239	525
10.264	419	10.290	493
10.316	384	10.340	461
10.366	351	10.391	432
10.417	322	10.441	406
10.467	299	10.493	386
10.518	282	10.543	372
10.568	273	10.594	363
10.620	273	10.644	363
10.670	279	10.695	369
10.721	294	10.746	382
10.771	315	10.797	401
10.822	343	10.847	426
10.873	375	10.898	454
10.924	409	10.948	484
10.974	444	11.000	516
11.025	479	11.050	548
11.075	511	11.101	576
11.127	539	11.151	601
11.177	562	11.202	622
11.228	577	11.252	635
11.278	586	11.304	643
11.329	586	11.354	643
11.379	578	11.405	637
11.431	564	11.455	625
11.481	542	11.506	605
11.532	514	11.557	581
11.582	483	11.608	552
11.633	449	11.658	522
11.684	414	11.709	491
11.735	380	11.759	460
11.785	349	11.811	431
11.836	322	11.861	406
11.886	300	11.912	386
11.938	285	11.962	373
11.988	278	12.013	365
12.039	278	12.063	365
12.089	286	12.115	372
12.140	301	12.166	386
12.190	323	12.216	405
12.242	350	12.267	428
12.292	382	12.317	457
12.343	415	12.369	487
12.393	449	12.419	519
12.444	482	12.470	549
12.495	513	12.520	577
12.546	540	12.571	602
12.596	560	12.622	621
12.647	574	12.673	634
12.697	581	12.723	642
12.749	581	12.774	641
12.799	572	12.824	635
12.850	556	12.876	621
12.900	534	12.926	602
12.951	507	12.977	578
13.001	476	13.027	550
13.053	443	13.078	518
13.103	409	13.128	488
13.154	377	13.180	458
13.204	347	13.230	430
13.255	322	13.281	405
13.306	302	13.331	386
13.357	288	13.382	374
13.407	282	13.433	367
13.458	284	13.484	368
13.508	292	13.534	375
13.560	308	13.585	388
13.610	330	13.635	408
13.661	357	13.687	432
13.711	388	13.737	461
13.762	420	13.788	490
13.812	453	13.838	522
13.864	485	13.889	552
13.914	514	13.939	579
13.965	539	13.991	602
14.015	558	14.041	621
14.066	570	14.092	633
14.117	576	14.142	640
14.168	574	14.193	639
14.218	565	14.244	632
14.269	549	14.295	618
14.319	526	14.345	598
14.371	500	14.396	574
14.421	470	14.446	545
14.472	438	14.498	516
14.522	405	14.548	485
14.573	374	14.599	455
14.623	346	14.649	428
14.675	322	14.700	405
14.725	304	14.750	387
14.776	292	14.802	375
14.826	287	14.852	369
14.877	289	14.903	370
14.928	298	14.953	378
14.979	315	15.004	392
15.029	336	15.055	412
15.080	363	15.106	436
15.130	393	15.156	464
15.182	424	15.207	494
15.232	457	15.257	525
15.283	487	15.309	554
15.333	515	15.359	581
15.384	537	15.410	604
15.435	555	15.460	622
15.486	566	15.511	633
