#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	502	0.051	330
0.076	552	0.102	350
0.127	599	0.152	375
0.178	639	0.203	406
0.229	672	0.253	440
0.279	695	0.305	476
0.330	705	0.355	512
0.380	703	0.406	546
0.432	692	0.456	577
0.482	669	0.507	603
0.533	637	0.558	621
0.583	598	0.609	630
0.634	553	0.659	635
0.684	505	0.710	628
0.736	455	0.761	615
0.786	408	0.811	594
0.837	365	0.863	566
0.887	329	0.913	532
0.938	300	0.964	497
0.989	281	1.014	459
1.040	274	1.065	422
1.090	276	1.116	386
1.141	288	1.167	355
1.191	312	1.217	329
1.243	344	1.268	311
1.293	382	1.318	302
1.344	426	1.370	300
1.394	473	1.420	308
1.445	520	1.471	324
1.495	564	1.521	348
1.547	605	1.572	379
1.597	639	1.622	414
1.648	665	1.674	453
1.698	681	1.724	492
1.749	685	1.775	531
1.800	680	1.825	568
1.851	665	1.876	600
1.901	640	1.927	624
1.952	608	1.978	640
2.002	569	2.028	647
2.054	527	2.079	648
2.104	482	2.129	638
2.155	438	2.181	619
2.205	397	2.231	593
2.256	360	2.282	561
2.306	331	2.332	523
2.358	309	2.383	482
2.408	297	2.433	441
2.459	295	2.485	401
2.509	300	2.535	364
2.560	317	2.586	332
2.611	341	2.636	308
2.662	373	2.687	292
2.712	410	2.738	287
2.763	451	2.789	288
2.813	492	2.839	302
2.865	533	2.890	323
2.915	571	2.940	352
2.966	605	2.992	388
3.016	633	3.042	428
3.067	652	3.093	469
3.118	661	3.143	513
3.169	661	3.194	554
3.219	654	3.244	590
3.270	636	3.296	620
3.320	612	3.346	644
3.371	580	3.397	657
3.422	544	3.447	661
3.473	506	3.498	657
3.523	466	3.549	642
3.574	428	3.600	619
3.624	392	3.650	587
3.676	362	3.701	550
3.726	339	3.751	507
3.777	324	3.803	463
3.827	317	3.853	420
3.878	317	3.904	378
3.929	326	3.954	342
3.980	344	4.005	311
4.030	368	4.055	289
4.081	399	4.107	276
4.131	433	4.157	275
4.182	470	4.208	281
4.233	507	4.258	300
4.284	542	4.309	327
4.335	575	4.360	361
4.385	601	4.411	400
4.436	622	4.461	446
4.487	635	4.512	490
4.538	640	4.562	535
4.588	637	4.614	576
4.639	627	4.664	611
4.689	608	4.715	641
4.741	584	4.765	661
4.791	555	4.816	670
4.842	523	4.866	670
4.892	488	4.918	661
4.943	454	4.968	641
4.993	422	5.019	612
5.045	393	5.069	576
5.095	370	5.120	534
5.146	352	5.171	488
5.196	342	5.222	442
5.247	337	5.272	397
5.298	342	5.323	356
5.349	353	5.373	320
5.399	371	5.425	291
5.450	394	5.475	272
5.500	421	5.526	265
5.552	452	5.576	267
5.602	484	5.627	280
5.653	516	5.678	304
5.703	545	5.729	336
5.754	571	5.779	375
5.804	592	5.830	418
5.856	607	5.880	465
5.906	616	5.931	513
5.957	618	5.982	557
6.007	612	6.033	598
6.058	600	6.083	632
6.109	583	6.134	659
6.160	560	6.184	674
6.210	535	6.236	679
6.261	506	6.286	675
6.311	476	6.337	661
6.363	447	6.387	635
6.413	422	6.438	601
6.464	398	6.489	561
6.514	381	6.540	516
6.565	368	6.590	468
6.615	362	6.641	419
6.667	362	6.691	374
6.717	367	6.742	334
6.768	379	6.793	300
6.818	396	6.844	274
6.869	416	6.894	260
6.920	440	6.945	258
6.971	467	6.995	265
7.021	493	7.047	284
7.072	519	7.097	313
7.122	542	7.148	350
7.174	562	7.198	391
7.224	578	7.249	439
7.275	588	7.300	487
7.325	594	7.351	536
7.376	593	7.402	580
7.426	587	7.452	620
7.478	575	7.503	650
7.528	560	7.553	673
7.579	540	7.605	683
7.629	518	7.655	683
7.680	494	7.706	675
7.731	470	7.756	655
7.782	447	7.807	624
7.832	427	7.858	586
7.883	410	7.909	542
7.933	396	7.959	494
7.985	387	8.010	444
8.035	383	8.060	396
8.086	385	8.112	352
8.136	391	8.162	313
8.187	402	8.213	282
8.238	416	8.263	262
8.289	434	8.314	253
8.339	454	8.364	256
8.390	476	8.416	269
8.440	497	8.466	294
8.491	517	8.517	326
8.542	535	8.567	367
8.593	550	8.618	412
8.643	561	8.669	462
8.694	568	8.720	511
8.744	572	8.770	559
8.796	570	8.821	602
8.846	564	8.871	638
8.897	553	8.923	666
8.947	541	8.973	683
8.998	524	9.024	689
9.049	507	9.074	684
9.100	488	9.125	671
9.150	469	9.175	643
9.201	452	9.227	610
9.251	437	9.277	567
9.302	424	9.328	521
9.353	414	9.378	471
9.404	408	9.429	421
9.454	406	9.480	374
9.505	408	9.531	331
9.555	413	9.581	295
9.607	422	9.632	268
9.657	433	9.682	253
9.708	448	9.734	251
9.758	463	9.784	258
9.809	479	9.835	277
9.860	495	9.885	306
9.911	510	9.936	343
9.961	524	9.986	387
10.012	534	10.038	435
10.062	543	10.088	485
10.113	548	10.139	536
10.164	549	10.189	581
10.215	548	10.240	622
10.265	543	10.291	653
10.316	535	10.342	677
10.366	525	10.392	688
10.418	513	10.443	689
10.468	500	10.493	680
10.519	487	10.545	661
10.569	473	10.595	629
10.620	461	10.646	591
10.671	449	10.696	547
10.722	441	10.747	497
10.772	433	10.798	447
10.823	429	10.849	398
10.873	428	10.899	353
10.924	429	10.950	312
10.975	433	11.000	281
11.026	439	11.051	259
11.077	447	11.102	251
11.127	457	11.153	253
11.178	467	11.203	266
11.229	477	11.254	290
11.280	489	11.304	323
11.330	499	11.356	364
11.381	509	11.406	409
11.431	516	11.457	459
11.483	523	11.507	510
11.533	526	11.558	558
11.584	528	11.609	601
11.634	527	11.660	638
11.685	525	11.710	666
11.735	520	11.761	684
11.787	514	11.811	689
11.837	507	11.862	685
11.888	499	11.913	672
11.938	490	11.964	646
11.989	481	12.014	612
12.040	473	12.065	570
12.091	465	12.115	522
12.141	459	12.167	473
12.192	454	12.217	424
12.242	450	12.268	377
12.294	448	12.318	334
12.344	447	12.369	298
12.395	448	12.420	271
12.445	451	12.471	256
12.496	455	12.521	253
12.546	460	12.572	260
12.598	466	12.622	278
12.648	472	12.673	306
12.699	479	12.724	344
12.749	485	12.775	387
12.800	492	12.825	434
12.851	497	12.876	484
12.902	502	12.926	532
12.952	506	12.978	579
13.003	509	13.028	618
13.053	511	13.079	650
13.105	511	13.129	673
13.155	510	13.180	685
13.206	508	13.231	686
13.256	506	13.282	678
13.307	502	13.332	658
13.358	498	13.383	628
13.409	493	13.433	591
13.459	488	13.484	547
13.510	483	13.535	499
13.560	478	13.586	449
13.611	473	13.636	402
13.662	469	13.687	357
13.713	465	13.737	318
13.763	462	13.789	287
13.814	460	13.839	266
13.864	459	13.890	257
13.916	459	13.940	259
13.966	459	13.991	271
14.017	461	14.042	294
14.067	463	14.093	326
14.118	466	14.144	366
14.169	469	14.194	410
14.220	474	14.245	458
14.270	479	14.295	507
14.321	483	14.347	553
14.371	489	14.397	595
14.422	494	14.448	631
14.473	498	14.498	658
14.524	502	14.549	676
14.574	505	14.600	682
14.625	507	14.651	679
14.675	509	14.701	665
14.727	509	14.752	641
14.777	509	14.802	608
14.828	507	14.854	568
14.878	504	14.904	522
14.929	501	14.955	475
14.980	496	15.005	427
15.031	491	15.056	382
15.081	485	15.106	341
15.132	479	15.158	307
15.182	473	15.208	281
15.233	467	15.259	267
15.284	462	15.309	263
15.335	458	15.360	269
15.385	454	15.411	287
15.436	452	15.462	313
15.486	451	15.512	349
15.538	450	15.563	389
15.588	453	15.613	434
15.639	456	15.665	480
15.689	461	15.715	528
15.740	467	15.766	571
15.791	474	15.816	610
15.842	482	15.867	640
15.892	491	15.918	662
15.943	498	15.969	673
15.993	505	16.019	675
16.044	512	16.070	667
16.095	517	16.120	649
16.146	520	16.171	621
16.196	523	16.222	586
16.247	523	16.273	544
16.297	521	16.323	498
16.349	517	16.374	452
16.399	512	16.424	406
16.450	505	16.476	365
16.500	496	16.526	329
16.551	488	16.577	299
16.602	478	16.627	279
16.653	469	16.678	272
16.703	459	16.729	273
16.754	451	16.780	284
16.804	444	16.830	306
16.855	439	16.881	336
16.906	436	16.931	373
16.957	435	16.982	413
17.007	437	17.033	459
17.058	441	17.084	503
17.108	447	17.134	547
17.160	455	17.185	586
17.210	464	17.235	619
17.261	475	17.287	645
17.311	487	17.337	661
17.362	498	17.388	666
17.413	510	17.438	664
17.464	520	17.489	652
17.514	528	17.540	629
17.565	534	17.591	599
17.615	538	17.641	562
17.666	539	17.692	520
17.717	537	17.742	476
