#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.025	531	0.050	486
0.076	546	0.101	486
0.127	555	0.151	486
0.177	560	0.202	486
0.228	560	0.253	485
0.278	555	0.304	485
0.329	544	0.354	486
0.380	530	0.405	485
0.431	511	0.455	486
0.481	491	0.507	485
0.532	469	0.557	486
0.582	446	0.608	485
0.634	424	0.658	486
0.684	404	0.709	486
0.735	386	0.760	486
0.785	372	0.811	486
0.836	363	0.861	485
0.887	358	0.912	485
0.938	359	0.962	486
0.988	365	1.014	486
1.039	375	1.064	485
1.089	390	1.115	485
1.140	408	1.165	485
1.191	428	1.216	486
1.242	450	1.266	485
1.292	473	1.318	486
1.343	494	1.368	486
1.393	515	1.419	485
1.445	532	1.469	486
1.495	545	1.520	485
1.546	554	1.571	486
1.596	558	1.622	485
1.647	557	1.672	485
1.698	552	1.723	486
1.749	540	1.773	486
1.799	526	1.825	486
1.850	508	1.875	485
1.900	487	1.926	485
1.951	465	1.976	486
2.002	443	2.027	485
2.053	422	2.077	485
2.103	402	2.129	485
2.154	386	2.179	485
2.204	373	2.230	485
2.256	365	2.280	485
2.306	361	2.331	486
2.357	362	2.383	485
2.407	368	2.433	486
2.458	379	2.484	485
2.509	394	2.534	486
2.560	412	2.585	485
2.610	432	2.636	486
2.661	453	2.687	486
2.711	476	2.737	485
2.762	497	2.788	486
2.813	516	2.838	485
2.864	531	2.889	485
2.914	544	2.940	485
2.965	552	2.991	485
3.015	555	3.041	486
3.067	554	3.092	486
3.117	547	3.142	485
3.168	537	3.194	485
3.218	522	3.244	485
3.269	504	3.295	485
3.320	483	3.345	486
3.371	462	3.396	486
3.421	441	3.447	486
3.472	420	3.498	485
3.522	401	3.548	486
3.574	385	3.599	485
3.624	374	3.649	486
3.675	366	3.700	485
3.725	363	3.751	486
3.776	365	3.802	485
3.826	372	3.852	486
3.878	383	3.903	485
3.928	397	3.953	485
3.979	415	4.005	486
4.029	435	4.055	485
4.080	457	4.106	486
4.131	478	4.156	485
4.182	498	4.207	485
4.232	517	4.258	485
4.283	532	4.309	486
4.333	543	4.359	486
4.385	551	4.410	486
4.435	553	4.460	486
4.486	551	4.511	486
4.536	544	4.562	485
4.587	534	4.613	486
4.637	518	4.663	485
4.689	500	4.714	486
4.739	480	4.764	486
4.790	459	4.816	485
4.840	438	4.866	485
4.891	418	4.917	485
4.942	400	4.967	486
4.993	386	5.018	486
5.043	375	5.069	486
5.094	368	5.120	486
5.144	366	5.170	486
5.196	368	5.221	485
5.246	375	5.271	485
5.297	386	5.322	485
5.347	401	5.373	485
5.398	419	5.424	486
5.448	439	5.474	485
5.500	459	5.525	485
5.550	480	5.575	485
5.601	499	5.627	486
5.651	517	5.677	486
5.702	531	5.728	486
5.753	542	5.778	485
5.804	549	5.829	486
5.854	550	5.880	486
5.905	548	5.931	486
5.955	541	5.981	486
6.007	529	6.032	485
6.057	514	6.082	486
6.108	496	6.134	486
6.158	477	6.184	486
6.209	456	6.235	485
6.259	436	6.285	486
6.311	416	6.336	485
6.361	400	6.386	485
6.412	385	6.438	486
6.462	376	6.488	486
6.513	370	6.539	485
6.564	368	6.589	486
6.615	371	6.640	486
6.665	379	6.691	485
6.716	390	6.742	485
6.766	405	6.792	486
6.818	422	6.843	486
6.868	442	6.893	486
6.919	462	6.945	486
6.969	482	6.995	485
7.020	501	7.046	486
7.070	517	7.096	486
7.122	531	7.147	485
7.172	541	7.197	485
7.223	547	7.249	486
7.273	548	7.299	486
7.324	545	7.350	485
7.375	538	7.400	486
7.426	526	7.451	485
7.476	511	7.502	485
7.527	493	7.553	486
7.577	474	7.603	486
7.629	453	7.654	485
7.679	434	7.704	486
7.730	415	7.756	486
7.780	399	7.806	486
7.831	386	7.857	485
7.881	377	7.907	485
7.933	371	7.958	485
7.983	370	8.008	485
8.034	374	8.060	486
8.084	382	8.110	485
8.135	394	8.161	485
8.186	408	8.211	485
8.237	426	8.262	486
8.287	445	8.313	485
8.338	466	8.364	486
8.388	484	8.414	486
8.440	502	8.465	486
8.490	518	8.515	485
8.541	531	8.567	485
8.591	540	8.617	486
8.642	545	8.668	486
8.692	546	8.718	486
8.744	542	8.769	485
8.795	534	8.819	486
8.845	522	8.871	486
8.896	507	8.921	486
8.946	489	8.972	486
8.998	470	9.022	486
9.048	451	9.073	485
9.099	432	9.124	485
9.149	414	9.175	485
9.200	399	9.225	485
9.251	386	9.276	485
9.302	378	9.326	485
9.352	373	9.378	486
9.403	373	9.428	485
9.453	377	9.479	485
9.505	385	9.529	486
9.555	397	9.580	486
9.606	412	9.630	485
9.656	429	9.682	486
9.707	448	9.732	486
9.757	467	9.783	486
9.809	486	9.833	486
9.859	504	9.884	485
9.910	518	9.935	485
9.960	531	9.986	486
10.011	539	10.036	486
10.062	544	10.087	485
10.113	543	10.137	486
10.163	539	10.189	485
10.214	531	10.239	486
10.264	518	10.290	485
10.316	503	10.340	485
10.366	486	10.391	486
10.417	468	10.441	485
10.467	448	10.493	485
10.518	430	10.543	485
10.568	413	10.594	485
10.620	398	10.644	485
10.670	387	10.695	486
10.721	379	10.746	485
10.771	375	10.797	486
10.822	375	10.847	485
10.873	380	10.898	485
10.924	388	10.948	486
10.974	400	11.000	486
11.025	415	11.050	486
11.075	432	11.101	486
11.127	451	11.151	486
11.177	470	11.202	485
11.228	488	11.252	486
11.278	505	11.304	485
11.329	518	11.354	486
11.379	530	11.405	486
11.431	537	11.455	486
11.481	542	11.506	485
11.532	541	11.557	486
11.582	536	11.608	485
11.633	527	11.658	485
11.684	515	11.709	486
11.735	500	11.760	486
11.785	483	11.811	485
11.836	465	11.862	485
11.886	446	11.912	486
11.938	428	11.963	486
11.988	412	12.013	486
12.039	398	12.065	485
12.089	387	12.115	486
12.140	380	12.166	486
12.190	377	12.216	486
12.242	378	12.267	486
12.292	383	12.317	486
12.343	391	12.369	486
12.393	404	12.419	486
12.444	419	12.470	485
12.495	436	12.520	485
12.546	454	12.571	485
12.596	472	12.622	485
12.647	489	12.673	486
12.697	505	12.723	486
12.749	519	12.774	486
12.799	529	12.824	485
12.850	536	12.876	485
12.900	539	12.926	485
12.951	539	12.977	486
13.001	533	13.027	485
13.053	524	13.078	486
