#Creator: pendulumviewEventBuffer
#Creation time: Mon Mar  7 09:51:44 2022
#Time A	Pos A	Time B	Pos B
#[s]	[au]	[s]	[au]
0.026	452	0.050	446
0.076	452	0.101	414
0.127	453	0.152	385
0.177	453	0.203	361
0.228	452	0.253	343
0.279	452	0.304	334
0.330	452	0.354	330
0.380	452	0.406	336
0.431	452	0.456	349
0.481	451	0.507	369
0.533	451	0.557	396
0.583	450	0.608	426
0.634	451	0.659	458
0.684	450	0.710	493
0.735	450	0.760	528
0.785	451	0.811	560
0.837	451	0.861	589
0.887	452	0.912	612
0.938	452	0.963	629
0.988	452	1.014	638
1.039	452	1.064	641
1.090	452	1.115	635
1.141	453	1.166	622
1.191	453	1.217	602
1.242	453	1.268	576
1.292	452	1.318	546
1.344	453	1.369	513
1.394	453	1.419	479
1.445	453	1.471	445
1.495	452	1.521	414
1.546	452	1.572	384
1.596	451	1.622	362
1.648	452	1.673	347
1.698	451	1.723	338
1.749	451	1.775	336
1.799	451	1.825	342
1.850	451	1.876	355
1.901	451	1.926	375
1.952	451	1.977	400
2.002	451	2.028	430
2.053	451	2.079	463
2.103	451	2.129	497
2.155	451	2.180	530
2.205	451	2.230	561
2.256	451	2.282	589
2.306	451	2.332	611
2.357	452	2.383	626
2.408	452	2.433	635
2.459	452	2.484	636
2.509	452	2.534	630
2.560	453	2.586	616
2.610	453	2.636	595
2.661	453	2.687	570
2.712	453	2.737	541
2.763	453	2.788	508
2.813	453	2.839	474
2.864	452	2.890	442
2.914	451	2.940	411
2.966	452	2.991	384
3.016	451	3.041	363
3.067	450	3.093	349
3.117	451	3.143	341
3.168	450	3.194	340
3.219	451	3.244	348
3.270	450	3.295	362
3.320	451	3.345	381
3.371	451	3.397	407
3.421	451	3.447	435
3.472	451	3.498	468
3.523	451	3.548	501
3.574	452	3.599	533
3.624	452	3.650	563
3.675	452	3.701	589
3.725	452	3.751	609
3.777	453	3.802	623
3.827	453	3.852	632
3.878	453	3.904	631
3.928	453	3.954	624
3.979	453	4.005	609
4.030	452	4.055	590
4.081	452	4.106	564
4.131	451	4.156	535
4.182	452	4.208	503
4.232	452	4.258	471
4.283	452	4.309	440
4.334	452	4.359	410
4.385	452	4.410	386
4.436	452	4.461	365
4.486	451	4.512	352
4.537	452	4.562	345
4.588	452	4.613	346
4.639	451	4.663	352
4.689	451	4.715	367
4.740	452	4.765	387
4.790	451	4.816	412
4.842	451	4.866	441
4.892	451	4.917	473
4.943	452	4.968	504
4.993	452	5.019	536
5.044	452	5.069	564
5.094	452	5.120	589
5.146	453	5.170	608
5.196	452	5.221	620
5.247	452	5.272	628
5.297	453	5.323	627
5.348	453	5.373	619
5.399	452	5.424	604
5.450	452	5.474	584
5.500	452	5.526	559
5.551	452	5.576	531
5.601	452	5.627	499
5.653	452	5.677	467
5.703	451	5.728	437
5.754	451	5.779	409
5.804	451	5.830	385
5.855	452	5.880	367
5.905	451	5.931	355
5.957	452	5.981	348
6.007	451	6.032	351
6.058	452	6.083	357
6.108	452	6.134	372
6.159	452	6.184	393
6.210	452	6.235	418
6.261	452	6.285	446
6.311	452	6.337	477
6.362	452	6.387	508
6.412	452	6.438	538
6.464	452	6.488	565
6.514	452	6.539	589
6.565	452	6.590	607
6.615	452	6.641	618
6.666	452	6.691	624
6.716	452	6.742	622
6.768	452	6.792	614
6.818	452	6.843	599
6.869	452	6.894	579
6.919	452	6.945	554
6.970	452	6.995	525
7.021	452	7.046	495
7.072	452	7.096	464
7.122	452	7.148	435
7.173	452	7.198	408
7.223	452	7.249	386
7.275	452	7.299	368
7.325	452	7.350	357
7.376	452	7.401	352
7.426	451	7.452	354
7.477	451	7.503	363
7.528	452	7.553	377
7.579	451	7.604	398
7.629	452	7.654	423
7.680	451	7.706	451
7.730	452	7.756	481
7.781	452	7.807	512
7.832	452	7.857	540
7.883	452	7.908	567
7.933	453	7.959	588
7.984	452	8.010	605
8.034	452	8.060	616
8.086	452	8.111	620
8.136	452	8.161	618
8.187	452	8.213	609
8.237	452	8.263	593
8.288	452	8.314	573
8.339	452	8.364	548
8.390	452	8.415	521
8.440	452	8.465	491
8.491	452	8.517	461
8.541	452	8.567	433
8.592	452	8.618	407
8.643	452	8.668	386
8.694	452	8.719	370
8.744	452	8.770	360
8.795	452	8.821	356
8.845	453	8.871	359
8.897	452	8.922	368
8.947	452	8.972	383
8.998	451	9.024	403
9.048	452	9.074	428
9.099	451	9.125	455
9.150	452	9.175	484
9.201	451	9.226	513
9.251	452	9.276	542
9.302	452	9.328	567
9.352	452	9.378	587
9.403	452	9.429	603
9.454	452	9.479	613
9.505	453	9.530	616
9.555	452	9.581	613
9.606	453	9.632	604
9.656	453	9.682	589
9.708	453	9.733	568
9.758	452	9.783	544
9.809	452	9.835	517
9.859	452	9.885	487
9.910	452	9.936	458
9.961	452	9.986	432
10.012	452	10.037	407
10.062	451	10.088	387
10.113	451	10.139	372
10.163	452	10.189	362
10.214	452	10.240	359
10.265	452	10.290	363
10.316	452	10.341	373
10.367	452	10.392	388
10.417	452	10.443	409
10.468	452	10.493	432
10.519	452	10.544	460
10.570	452	10.594	488
